city,city_key,latitude,longitude,region_type,state,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-01,16.7,6.2,10.1,14.4,3.9,7.9,0.0,0.0,12.2,27.7,95,53,81,990.7,14.68,2.07
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-02,16.8,5.4,10.1,15.7,3.2,8.5,0.0,0.0,8.0,18.0,95,47,80,991.5,14.55,2.1
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-03,16.1,5.4,10.4,16.2,3.4,9.1,0.0,0.0,7.7,13.3,96,46,81,993.0,14.39,2.08
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-04,17.4,5.5,10.9,15.8,3.3,9.0,0.0,0.0,12.3,23.0,94,50,77,993.9,14.62,2.23
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-05,21.3,8.3,12.9,18.9,5.8,10.7,0.0,0.0,14.1,29.9,90,38,72,994.6,14.6,2.63
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-06,21.9,8.3,13.6,19.8,6.2,11.7,0.0,0.0,13.4,26.3,88,35,70,993.3,14.55,2.75
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-07,20.3,8.3,13.7,19.0,6.6,12.1,0.0,0.0,11.9,25.6,90,49,74,994.6,14.65,2.57
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-08,19.0,8.8,12.6,16.4,6.4,10.5,0.0,0.0,15.3,31.3,95,48,78,994.8,15.17,2.39
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-09,20.0,8.3,13.1,17.0,5.6,10.5,0.0,0.0,18.2,37.1,92,43,72,993.2,15.13,2.68
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-10,22.6,8.5,14.7,19.0,5.2,11.3,0.0,0.0,21.6,41.4,83,34,60,990.8,15.18,3.61
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-11,24.7,11.0,16.5,21.3,7.3,13.3,0.0,0.0,21.0,40.3,69,31,55,990.2,15.21,3.98
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-12,25.2,10.9,16.7,23.8,8.7,15.1,0.0,0.0,14.8,30.6,85,39,67,990.2,15.21,3.21
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-13,24.8,9.5,16.7,24.9,7.8,16.1,0.0,0.0,9.2,20.2,92,43,73,988.2,15.27,2.88
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-14,24.1,11.1,16.6,22.0,9.9,14.9,0.0,0.0,19.7,38.9,91,42,68,987.4,15.23,3.25
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-15,22.9,9.9,15.0,19.8,7.0,12.3,0.0,0.0,15.7,32.8,79,30,58,989.5,15.84,3.42
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-16,23.5,8.1,15.0,20.4,5.7,12.5,0.0,0.0,14.3,28.8,81,28,57,990.3,15.61,3.36
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-17,26.2,10.6,17.4,23.9,8.1,15.2,0.0,0.0,11.2,24.5,72,28,52,989.1,15.4,3.67
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-18,27.5,12.7,18.9,24.6,10.7,16.7,0.0,0.0,18.9,36.4,72,27,55,989.4,15.62,4.07
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-19,26.5,13.4,19.2,22.1,10.5,16.0,0.0,0.0,30.1,55.8,74,33,56,989.6,15.53,4.76
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-20,26.1,15.2,20.2,21.7,11.7,16.8,0.0,0.0,27.1,50.4,68,31,51,988.5,15.35,4.99
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-21,27.5,14.6,20.0,26.0,12.5,18.5,0.0,0.0,16.8,31.7,74,35,56,988.8,15.08,3.84
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-22,28.3,13.4,19.7,26.8,12.8,18.6,0.0,0.0,20.0,37.8,88,33,63,989.4,15.85,3.84
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-23,26.0,12.9,18.2,23.6,12.0,16.8,0.0,0.0,17.6,35.3,92,34,66,990.7,16.39,3.56
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-24,25.7,12.5,17.9,23.1,10.4,15.8,0.0,0.0,19.0,37.8,82,30,58,990.3,16.61,3.92
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-25,26.5,11.4,17.7,25.0,9.5,16.2,0.0,0.0,16.6,33.8,83,35,63,990.5,16.41,3.69
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-26,28.3,10.7,18.4,27.5,9.4,17.6,0.0,0.0,10.7,19.4,94,29,65,989.5,15.42,3.24
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-27,27.6,13.7,19.8,25.3,12.6,18.4,0.0,0.0,19.0,36.4,83,32,59,986.5,15.07,3.89
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-28,25.1,13.4,18.7,23.5,10.7,17.3,0.0,0.0,12.9,27.7,85,30,56,987.0,16.42,3.76
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-29,22.4,10.3,15.5,19.8,7.8,13.0,0.0,0.0,13.9,28.4,74,29,52,990.3,16.71,3.63
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-30,22.8,11.1,16.1,18.4,7.9,12.7,0.0,0.0,19.4,38.2,67,24,47,991.4,15.27,4.0
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-01-31,24.9,10.1,16.1,22.9,7.4,13.8,0.0,0.0,9.9,21.6,69,25,51,989.7,16.2,3.56
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-01,24.4,9.9,16.5,22.3,8.3,14.2,0.0,0.0,13.9,28.4,86,27,54,989.1,17.34,3.89
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-02,22.2,10.8,14.9,18.5,7.7,11.6,0.0,0.0,19.8,39.6,67,26,49,990.5,17.79,3.96
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-03,22.6,8.3,14.8,20.5,5.3,12.1,0.0,0.0,11.5,27.4,70,27,50,992.3,17.32,3.64
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-04,23.9,10.2,16.1,20.1,7.1,12.9,0.0,0.0,18.8,36.0,67,21,45,990.3,17.78,4.29
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-05,25.2,10.8,16.6,21.6,7.9,13.8,0.0,0.0,16.2,33.5,65,24,48,988.9,15.6,3.95
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-06,25.8,9.9,17.9,25.0,7.9,16.5,0.0,0.0,10.4,16.6,79,30,53,991.3,14.94,2.95
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-07,23.6,13.0,18.3,21.1,10.8,16.6,0.0,0.0,17.3,33.8,73,42,60,992.8,11.52,3.17
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-08,22.3,15.6,18.5,21.4,14.7,17.6,0.6,0.6,15.8,41.8,80,56,69,991.6,10.4,2.61
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-09,25.6,14.5,19.8,26.1,14.8,20.2,0.3,0.3,9.0,20.5,95,41,70,990.9,16.28,3.17
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-10,23.2,15.4,18.9,24.9,16.1,19.9,8.9,8.9,9.4,18.4,93,60,80,992.3,14.19,2.65
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-11,23.7,13.0,17.9,24.8,13.0,18.3,0.0,0.0,9.3,22.7,97,56,80,994.4,13.33,2.46
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-12,22.4,14.8,17.9,22.2,15.0,18.2,2.3,2.3,14.6,31.3,95,56,80,992.0,10.79,2.09
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-13,18.6,14.3,16.1,18.7,14.2,16.4,16.0,16.0,14.0,29.9,97,83,90,989.1,7.82,1.27
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-14,19.3,12.3,15.5,18.4,10.9,14.8,2.8,2.8,13.8,27.0,98,58,81,989.3,13.14,2.3
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-15,20.5,10.1,14.7,18.4,8.5,12.8,0.0,0.0,16.9,32.4,93,41,69,989.1,19.22,3.41
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-16,20.8,9.8,14.5,18.9,7.6,12.4,0.0,0.0,17.6,36.0,84,38,66,988.0,19.48,3.51
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-17,21.5,9.2,15.6,19.7,7.7,14.3,3.5,3.5,17.3,28.1,88,45,68,985.6,15.56,3.03
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-18,15.1,13.0,14.2,14.9,10.9,13.2,19.1,19.1,22.4,38.5,97,81,89,984.2,4.7,0.93
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-19,18.3,12.6,15.0,18.7,11.9,14.5,1.1,1.1,15.0,29.5,99,61,87,988.4,10.94,1.81
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-20,21.1,11.5,16.0,22.1,11.0,16.0,0.2,0.2,8.0,22.3,98,63,83,987.8,15.35,2.63
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-21,23.2,12.2,16.8,22.2,11.2,15.8,0.0,0.0,17.8,35.3,94,46,73,986.8,19.19,3.51
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-22,23.6,11.9,17.1,22.3,10.3,16.0,0.0,0.0,16.1,33.1,86,42,68,985.0,18.72,3.66
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-23,24.2,12.7,17.4,24.8,11.8,17.2,3.3,3.3,14.8,33.1,89,44,73,984.2,16.42,3.12
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-24,17.2,13.6,15.3,15.2,11.3,13.6,8.7,8.7,24.5,44.6,90,72,81,985.9,8.67,1.83
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-25,19.1,13.0,15.6,19.6,11.0,14.9,2.5,2.5,15.7,34.9,92,72,82,985.2,13.37,2.27
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-26,22.0,12.8,17.2,24.0,12.9,17.7,6.9,6.9,11.5,25.6,96,60,81,984.0,17.36,3.04
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-27,19.2,14.7,16.6,18.3,14.4,16.3,9.8,9.8,21.1,41.0,94,79,88,983.4,8.93,1.58
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-02-28,19.5,13.3,15.9,19.7,13.0,16.1,20.2,20.2,10.8,32.4,98,74,89,985.2,7.59,1.35
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-01,21.9,10.4,15.2,21.4,9.5,14.0,0.0,0.0,13.2,28.8,99,43,73,989.2,18.58,3.37
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-02,20.5,9.3,14.7,19.5,7.1,12.7,0.0,0.0,15.9,33.5,86,45,66,987.0,21.1,3.72
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-03,21.8,9.9,15.4,20.6,8.1,13.6,0.0,0.0,15.3,32.0,89,38,65,986.1,21.72,4.0
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-04,23.4,8.5,15.6,23.1,6.7,14.1,0.0,0.0,11.5,24.5,90,34,65,987.0,21.91,4.11
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-05,23.5,9.7,16.5,23.3,7.5,15.1,0.0,0.0,13.9,31.0,83,38,63,987.4,21.82,4.19
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-06,23.9,11.2,17.2,22.5,9.4,15.6,0.0,0.0,16.4,33.5,81,37,60,989.4,22.15,4.39
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-07,25.2,12.2,18.0,23.8,10.4,16.5,0.0,0.0,14.4,30.2,79,32,60,990.5,22.4,4.6
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-08,26.6,11.3,19.2,26.9,10.1,18.6,0.0,0.0,11.8,24.8,86,35,61,989.3,22.25,4.47
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-09,28.5,13.0,20.7,29.2,12.2,20.8,0.0,0.0,10.0,24.8,88,32,63,988.5,22.13,4.47
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-10,28.8,14.0,21.2,29.8,12.8,20.7,0.0,0.0,15.4,31.3,85,38,61,988.6,21.51,4.87
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-11,25.1,17.0,20.8,23.6,16.2,19.6,0.1,0.1,24.6,47.2,76,45,60,989.6,18.82,4.45
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-12,25.5,14.5,19.8,25.7,13.9,19.3,0.0,0.0,12.6,25.9,83,42,62,988.7,19.09,4.08
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-13,26.7,14.3,20.0,26.7,13.6,19.2,0.0,0.0,13.5,30.6,87,32,61,987.7,22.96,4.83
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-14,28.0,12.7,20.7,30.0,11.9,20.9,0.0,0.0,9.8,17.6,89,37,62,987.9,22.74,4.55
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-15,29.3,16.6,22.7,30.5,16.0,22.7,0.0,0.0,12.3,27.7,75,35,58,989.0,21.62,4.89
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-16,31.1,17.1,23.7,32.3,16.9,24.2,0.0,0.0,13.7,29.9,77,35,59,988.7,22.74,5.23
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-17,32.4,18.7,25.2,32.1,18.5,24.9,0.0,0.0,20.2,40.3,77,33,56,990.0,20.92,5.79
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-18,31.2,20.2,25.2,31.5,20.7,25.2,0.0,0.0,19.8,39.6,74,38,56,989.9,19.37,5.34
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-19,33.1,19.9,25.9,35.5,20.7,26.8,0.0,0.0,12.3,26.6,75,36,56,987.3,20.67,5.29
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-20,32.4,18.9,25.6,35.5,19.7,26.5,0.0,0.0,20.7,29.2,82,37,57,984.5,22.02,5.52
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-21,31.0,19.6,24.8,32.7,20.1,25.8,0.0,0.0,13.9,25.9,76,34,57,981.9,20.52,4.78
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-22,28.8,19.8,24.0,32.8,20.7,25.4,1.2,1.2,13.6,27.4,83,45,62,980.9,19.66,4.38
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-23,27.1,16.3,21.9,26.7,14.4,21.1,0.0,0.0,16.3,33.5,86,17,51,981.9,23.46,5.34
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-24,25.3,12.8,19.4,23.6,11.3,17.2,0.0,0.0,17.1,30.6,73,20,43,985.5,24.24,5.56
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-25,27.0,12.3,20.2,27.5,10.4,18.7,0.0,0.0,11.1,19.4,77,22,42,986.8,24.72,5.21
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-26,26.3,14.6,21.3,25.1,12.8,19.6,0.0,0.0,9.5,16.9,65,22,39,985.2,17.67,4.23
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-27,24.1,16.8,20.6,22.0,14.6,18.4,0.0,0.0,17.1,31.3,63,32,45,984.2,14.83,4.29
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-28,24.6,15.4,19.6,24.6,13.5,18.7,0.0,0.0,12.9,31.7,82,38,59,986.4,21.15,4.48
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-29,27.4,13.1,20.8,28.6,12.7,20.2,0.0,0.0,16.6,29.2,95,33,60,986.4,22.95,5.0
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-30,29.1,17.1,23.3,29.9,16.3,22.3,0.4,0.4,14.3,32.4,63,30,44,985.5,21.19,5.33
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-03-31,28.5,15.6,22.3,28.2,14.8,20.9,0.0,0.0,16.7,32.8,78,25,48,987.0,24.25,6.03
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-01,28.8,14.9,21.9,26.8,12.6,19.8,0.0,0.0,22.3,43.6,60,25,44,986.5,23.83,6.19
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-02,29.1,15.4,21.9,25.8,14.0,19.5,0.0,0.0,21.2,42.1,64,18,40,984.5,22.34,6.1
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-03,30.6,15.9,22.9,28.8,14.3,21.0,0.0,0.0,17.0,36.7,61,19,38,984.5,25.08,6.41
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-04,31.2,14.6,23.2,31.4,13.1,22.3,0.0,0.0,10.5,18.7,68,19,41,984.1,26.12,5.75
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-05,32.6,17.0,24.6,33.1,15.9,23.7,0.0,0.0,13.0,28.1,64,18,40,983.5,25.64,6.1
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-06,29.5,19.3,23.7,27.9,17.4,22.2,0.0,0.0,20.4,38.5,61,25,47,984.0,13.33,4.75
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-07,32.4,19.7,25.7,33.8,19.3,25.4,0.0,0.0,16.9,40.0,67,29,48,984.6,21.1,5.62
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-08,33.4,18.4,26.2,32.3,18.9,25.4,0.0,0.0,22.8,44.6,77,22,45,982.9,24.26,6.94
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-09,34.2,20.3,27.1,30.4,18.9,24.2,0.0,0.0,33.5,60.5,64,15,36,980.3,26.23,8.91
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-10,35.7,20.4,27.8,32.1,18.0,25.1,0.0,0.0,26.1,49.3,47,12,29,979.3,26.41,8.61
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-11,38.5,18.8,29.1,38.5,17.5,27.9,0.0,0.0,14.3,30.2,53,16,32,980.2,26.0,7.51
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-12,37.4,21.3,29.4,35.7,21.1,28.2,0.0,0.0,19.9,39.2,58,15,33,979.8,25.36,7.78
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-13,34.3,22.4,27.6,32.5,20.3,25.9,0.0,0.0,18.1,37.1,52,19,34,980.6,24.74,7.65
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-14,33.6,20.6,27.2,31.7,19.0,25.2,0.0,0.0,24.6,41.8,53,18,34,981.0,26.7,8.12
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-15,35.4,19.7,28.1,34.7,18.9,26.7,0.0,0.0,23.3,43.6,61,19,35,980.3,26.4,7.99
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-16,38.6,20.8,29.4,38.9,19.8,28.8,0.5,0.5,18.0,32.4,54,20,35,981.3,24.83,7.3
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-17,40.5,20.9,31.1,39.7,20.5,30.5,0.0,0.0,19.1,38.2,58,15,34,980.2,26.48,8.1
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-18,40.0,24.2,32.0,38.5,23.7,30.9,0.3,0.3,22.0,43.6,50,16,32,978.0,25.97,9.03
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-19,38.6,24.1,31.8,38.6,23.3,30.7,0.0,0.0,15.5,35.6,45,15,28,976.5,25.49,7.92
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-20,39.2,23.6,31.2,36.3,22.3,29.2,0.0,0.0,21.1,41.4,44,11,25,977.0,27.36,8.82
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-21,39.5,21.8,31.0,39.3,19.4,29.3,0.0,0.0,13.0,26.6,37,11,22,978.3,27.36,7.93
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-22,40.5,25.9,33.0,40.4,23.8,32.0,0.0,0.0,16.5,33.8,37,15,25,981.0,25.3,7.97
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-23,40.2,24.1,32.1,38.0,23.7,30.2,0.0,0.0,24.6,46.4,49,13,26,982.0,27.72,9.57
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-24,40.9,26.3,33.6,37.4,23.0,30.6,0.0,0.0,30.6,57.6,30,11,21,980.1,27.42,11.29
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-25,41.8,24.9,33.4,41.2,23.6,32.0,0.0,0.0,20.1,41.0,37,16,26,979.8,26.97,9.36
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-26,42.1,25.2,33.8,42.0,23.7,32.8,0.0,0.0,18.4,39.2,38,14,24,978.7,25.29,8.01
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-27,38.3,26.8,31.8,38.7,26.4,31.7,2.6,2.6,17.1,30.6,55,16,34,979.6,22.29,7.4
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-28,37.0,24.6,30.8,38.0,25.9,31.3,0.5,0.5,14.5,42.1,61,18,37,979.2,26.44,7.19
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-29,37.9,22.9,30.6,38.9,22.8,30.4,0.0,0.0,9.8,25.2,54,17,32,979.3,27.08,7.12
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-04-30,39.3,25.2,29.8,40.5,24.1,30.1,2.6,2.6,27.1,65.2,58,21,40,980.0,23.64,6.92
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-01,36.2,23.4,29.3,37.0,24.2,30.1,1.6,1.6,18.2,29.9,62,24,45,980.7,24.1,6.72
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-02,33.4,24.4,28.3,35.7,25.4,29.4,0.7,0.7,14.4,25.9,60,32,47,981.7,21.89,5.72
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-03,34.3,22.7,28.4,37.4,24.5,30.5,2.8,2.8,15.2,28.8,75,32,53,980.0,25.43,6.11
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-04,33.8,22.6,28.2,35.1,24.1,29.4,2.1,2.1,17.9,36.4,72,36,51,980.7,23.08,6.1
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-05,30.0,21.6,24.9,33.5,22.2,26.9,5.3,5.3,20.5,37.1,87,54,72,983.4,21.28,4.68
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-06,33.3,21.2,26.9,38.3,24.5,29.9,0.4,0.4,13.0,31.0,94,45,66,983.3,25.63,5.93
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-07,34.2,22.9,28.8,38.3,25.1,31.5,0.0,0.0,12.8,27.4,81,36,58,983.2,26.11,6.21
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-08,35.9,24.0,30.5,41.4,27.0,33.8,0.0,0.0,7.8,20.2,77,36,54,980.1,25.28,6.16
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-09,37.8,26.5,32.3,42.2,29.3,35.5,0.1,0.1,10.2,25.2,67,32,50,977.7,24.36,6.34
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-10,38.5,28.2,33.0,42.7,30.3,35.6,0.1,0.1,17.1,37.8,60,35,47,977.3,25.09,7.4
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-11,36.8,25.7,31.2,40.8,27.0,33.8,0.6,0.6,22.3,47.5,76,40,56,979.3,25.68,7.4
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-12,35.4,23.6,30.0,40.0,26.4,33.3,2.8,2.8,15.2,35.6,90,44,63,978.5,23.4,6.26
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-13,35.6,25.2,30.5,41.4,28.1,34.3,0.2,0.2,14.7,30.6,80,40,60,976.4,24.36,5.93
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-14,38.8,27.4,33.4,43.7,30.9,37.1,0.0,0.0,12.1,24.8,72,31,51,973.8,24.32,6.65
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-15,39.8,29.4,34.4,44.3,32.4,37.9,0.0,0.0,14.7,29.9,64,32,48,973.9,24.86,7.32
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-16,38.6,28.8,33.7,44.6,31.6,37.8,0.1,0.1,20.0,36.4,70,36,53,973.7,25.05,6.73
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-17,40.9,29.8,34.8,46.1,34.3,39.6,2.3,2.3,18.4,29.5,73,32,52,973.3,25.27,6.89
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-18,37.4,27.1,32.2,44.4,30.0,36.2,2.5,2.5,17.9,32.4,79,37,58,977.0,25.73,6.91
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-19,40.4,26.5,33.0,41.5,31.0,35.2,0.0,0.0,17.3,36.0,84,21,47,975.7,24.35,7.37
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-20,39.9,26.2,33.7,39.6,29.2,34.4,0.0,0.0,18.7,39.2,68,19,37,975.2,25.35,8.06
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-21,40.6,27.8,34.2,41.0,29.2,34.5,0.0,0.0,19.6,46.4,53,19,34,974.6,25.29,8.37
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-22,41.3,26.4,33.5,40.8,26.7,33.5,0.0,0.0,16.8,33.8,45,16,31,975.0,27.21,8.35
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-23,41.0,26.0,33.8,40.6,26.4,33.6,0.0,0.0,16.2,34.9,49,17,31,975.9,25.07,8.27
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-24,42.8,26.1,34.0,42.3,27.3,34.9,0.0,0.0,15.3,33.1,60,14,36,977.1,27.62,8.38
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-25,42.2,27.0,34.7,43.6,28.1,36.8,0.0,0.0,15.8,33.1,74,18,42,976.6,27.25,8.2
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-26,41.7,28.1,35.4,42.3,31.7,36.7,0.0,0.0,20.0,42.1,67,19,37,976.8,26.72,8.74
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-27,41.5,29.3,35.9,42.9,29.1,36.3,0.0,0.0,24.8,47.5,42,23,32,974.5,25.94,9.36
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-28,42.9,31.1,36.5,43.6,31.0,37.6,2.1,2.1,20.6,45.0,58,21,35,973.7,22.33,8.48
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-29,42.2,30.6,35.2,45.7,32.8,37.5,0.0,0.0,15.8,32.8,57,24,39,974.3,26.63,8.07
New Delhi,delhi,28.6139,77.209,plains,Delhi,1990-05-30,37.1,27.0,31.8,42.3,31.0,35.4,1.5,1.5,12.6,30.2,73,38,54,974.8,23.57,6.12
